bin_id,date,governorate,region,missed_collection,emergency_request,complaint_filed,illegal_dumping_flag,service_completion_time_min
BIN-أسو-001-7C4E,2026-01-01,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-01-02,أسوان,Upper Egypt,False,False,False,False,65.1
BIN-أسو-001-7C4E,2026-01-03,أسوان,Upper Egypt,False,True,False,False,
BIN-أسو-001-7C4E,2026-01-04,أسوان,Upper Egypt,False,False,False,False,69.2
BIN-أسو-001-7C4E,2026-01-05,أسوان,Upper Egypt,False,False,False,False,58.3
BIN-أسو-001-7C4E,2026-01-06,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-01-07,أسوان,Upper Egypt,False,False,False,False,53.2
BIN-أسو-001-7C4E,2026-01-08,أسوان,Upper Egypt,False,False,False,False,27.9
BIN-أسو-001-7C4E,2026-01-09,أسوان,Upper Egypt,True,False,False,False,
BIN-أسو-001-7C4E,2026-01-10,أسوان,Upper Egypt,False,False,False,False,73.9
BIN-أسو-001-7C4E,2026-01-11,أسوان,Upper Egypt,False,False,False,False,42.3
BIN-أسو-001-7C4E,2026-01-12,أسوان,Upper Egypt,False,False,False,False,28.9
BIN-أسو-001-7C4E,2026-01-13,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-01-14,أسوان,Upper Egypt,False,False,False,False,90.0
BIN-أسو-001-7C4E,2026-01-15,أسوان,Upper Egypt,False,False,False,False,80.0
BIN-أسو-001-7C4E,2026-01-16,أسوان,Upper Egypt,True,True,False,False,
BIN-أسو-001-7C4E,2026-01-17,أسوان,Upper Egypt,False,False,False,False,45.0
BIN-أسو-001-7C4E,2026-01-18,أسوان,Upper Egypt,True,False,True,False,
BIN-أسو-001-7C4E,2026-01-19,أسوان,Upper Egypt,False,False,False,False,15.7
BIN-أسو-001-7C4E,2026-01-20,أسوان,Upper Egypt,False,False,False,False,75.4
BIN-أسو-001-7C4E,2026-01-21,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-01-22,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-01-23,أسوان,Upper Egypt,False,False,False,False,15.6
BIN-أسو-001-7C4E,2026-01-24,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-01-25,أسوان,Upper Egypt,False,False,False,False,68.8
BIN-أسو-001-7C4E,2026-01-26,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-01-27,أسوان,Upper Egypt,False,False,False,False,71.0
BIN-أسو-001-7C4E,2026-01-28,أسوان,Upper Egypt,False,False,False,False,65.9
BIN-أسو-001-7C4E,2026-01-29,أسوان,Upper Egypt,True,False,False,False,
BIN-أسو-001-7C4E,2026-01-30,أسوان,Upper Egypt,False,False,False,False,56.8
BIN-أسو-001-7C4E,2026-01-31,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-02-01,أسوان,Upper Egypt,False,False,False,False,66.1
BIN-أسو-001-7C4E,2026-02-02,أسوان,Upper Egypt,False,False,False,False,80.8
BIN-أسو-001-7C4E,2026-02-03,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-02-04,أسوان,Upper Egypt,False,False,False,False,18.4
BIN-أسو-001-7C4E,2026-02-05,أسوان,Upper Egypt,False,False,False,False,25.3
BIN-أسو-001-7C4E,2026-02-06,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-02-07,أسوان,Upper Egypt,True,False,False,False,
BIN-أسو-001-7C4E,2026-02-08,أسوان,Upper Egypt,False,False,False,False,44.1
BIN-أسو-001-7C4E,2026-02-09,أسوان,Upper Egypt,False,False,False,False,46.5
BIN-أسو-001-7C4E,2026-02-10,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-02-11,أسوان,Upper Egypt,True,False,False,False,
BIN-أسو-001-7C4E,2026-02-12,أسوان,Upper Egypt,False,False,False,False,73.0
BIN-أسو-001-7C4E,2026-02-13,أسوان,Upper Egypt,False,False,False,False,63.6
BIN-أسو-001-7C4E,2026-02-14,أسوان,Upper Egypt,False,False,False,False,89.7
BIN-أسو-001-7C4E,2026-02-15,أسوان,Upper Egypt,False,False,False,False,53.2
BIN-أسو-001-7C4E,2026-02-16,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-02-17,أسوان,Upper Egypt,False,False,False,False,80.1
BIN-أسو-001-7C4E,2026-02-18,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-02-19,أسوان,Upper Egypt,False,False,False,False,80.4
BIN-أسو-001-7C4E,2026-02-20,أسوان,Upper Egypt,False,False,False,False,22.1
BIN-أسو-001-7C4E,2026-02-21,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-02-22,أسوان,Upper Egypt,False,False,False,False,61.3
BIN-أسو-001-7C4E,2026-02-23,أسوان,Upper Egypt,False,False,False,False,17.3
BIN-أسو-001-7C4E,2026-02-24,أسوان,Upper Egypt,True,False,False,False,
BIN-أسو-001-7C4E,2026-02-25,أسوان,Upper Egypt,False,False,False,False,79.2
BIN-أسو-001-7C4E,2026-02-26,أسوان,Upper Egypt,False,False,False,False,73.5
BIN-أسو-001-7C4E,2026-02-27,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-02-28,أسوان,Upper Egypt,False,False,False,False,22.3
BIN-أسو-001-7C4E,2026-03-01,أسوان,Upper Egypt,True,True,False,False,
BIN-أسو-001-7C4E,2026-03-02,أسوان,Upper Egypt,False,False,False,False,62.6
BIN-أسو-001-7C4E,2026-03-03,أسوان,Upper Egypt,False,False,False,False,41.4
BIN-أسو-001-7C4E,2026-03-04,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-03-05,أسوان,Upper Egypt,False,False,False,False,19.1
BIN-أسو-001-7C4E,2026-03-06,أسوان,Upper Egypt,False,False,False,False,53.5
BIN-أسو-001-7C4E,2026-03-07,أسوان,Upper Egypt,True,False,True,False,
BIN-أسو-001-7C4E,2026-03-08,أسوان,Upper Egypt,False,False,False,False,61.3
BIN-أسو-001-7C4E,2026-03-09,أسوان,Upper Egypt,False,False,False,False,61.7
BIN-أسو-001-7C4E,2026-03-10,أسوان,Upper Egypt,False,False,False,False,42.6
BIN-أسو-001-7C4E,2026-03-11,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-03-12,أسوان,Upper Egypt,False,False,False,False,42.2
BIN-أسو-001-7C4E,2026-03-13,أسوان,Upper Egypt,False,False,False,False,32.2
BIN-أسو-001-7C4E,2026-03-14,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-03-15,أسوان,Upper Egypt,False,False,False,False,40.9
BIN-أسو-001-7C4E,2026-03-16,أسوان,Upper Egypt,False,False,False,False,64.7
BIN-أسو-001-7C4E,2026-03-17,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-001-7C4E,2026-03-18,أسوان,Upper Egypt,False,False,False,False,33.0
BIN-أسو-001-7C4E,2026-03-19,أسوان,Upper Egypt,False,False,False,False,65.1
BIN-أسو-001-7C4E,2026-03-20,أسوان,Upper Egypt,False,False,False,False,87.5
BIN-أسو-001-7C4E,2026-03-21,أسوان,Upper Egypt,False,False,False,False,89.3
BIN-أسو-001-7C4E,2026-03-22,أسوان,Upper Egypt,False,False,False,False,88.2
BIN-أسو-001-7C4E,2026-03-23,أسوان,Upper Egypt,True,False,True,False,
BIN-أسو-001-7C4E,2026-03-24,أسوان,Upper Egypt,False,False,False,False,22.7
BIN-أسو-001-7C4E,2026-03-25,أسوان,Upper Egypt,False,False,False,False,20.3
BIN-أسو-001-7C4E,2026-03-26,أسوان,Upper Egypt,True,False,False,False,
BIN-أسو-001-7C4E,2026-03-27,أسوان,Upper Egypt,False,False,False,False,50.8
BIN-أسو-001-7C4E,2026-03-28,أسوان,Upper Egypt,True,False,False,False,
BIN-أسو-001-7C4E,2026-03-29,أسوان,Upper Egypt,False,False,False,False,66.5
BIN-أسو-001-7C4E,2026-03-30,أسوان,Upper Egypt,False,False,False,False,87.0
BIN-أسو-001-7C4E,2026-03-31,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-01,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-02,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-03,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-04,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-05,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-06,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-07,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-08,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-09,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-10,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-11,أسوان,Upper Egypt,False,False,False,False,
BIN-أسو-002-2113,2026-01-12,أسوان,Upper Egypt,False,False,False,False,
